"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"W hołdzie Katalonii","Homage to Catalonia. Polish","012550424","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Kuzaj, Leszek [person]","","","Poland","Kraków","Literacka","1985","","245 pages","","Sol.208b","Prose in English--Orwell, George--1903-1950--Biographies ; Orwell, George, 1903-1950","","Polish","Samizdat publication",""
"War broadcasts. French","Chroniques du temps de la guerre (1941-1943) ; The war commentaries","010790318","Monograph","Language material ; Text","Volume","","","9782851841827","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Noël, Claude [person]","","","France","Paris","Gérard Lebovici","1988","","262 pages","","YA.1989.b.2592","Prose in English--1900-1945--Translations","","French","",""
"We are the dead : Untersuchungen zur historischen Analyse im antiutopischen Roman : Nineteen eighty-four, Brave new world, Wir (My)","","007490566","Monograph","Language material ; Text","Volume","","","9783820482973","Peters, Jan Eden","1943-","person","","Peters, Jan Eden, 1943- [person]","Europäische Hochschulschriften. Reihe 14, Angelsächsische Sprache und Literatur","Band 137 [Europäische Hochschulschriften. Reihe 14, Angelsächsische Sprache und Literatur]","Germany","Frankfurt am Main","Lang","1985","","187 pages, 21 cm","823.91209","YA.1989.a.4871","Huxley, Aldous, 1894-1963 ; Dystopias in literature ; English fiction--20th century--History and criticism ; Future in literature ; Orwell, George, 1903-1950 ; Science fiction--History and criticism ; Zami︠a︡tin, Evgeniĭ Ivanovich, 1884-1937","","German","",""
"What Orwell didn't know : propaganda and the new face of American politics","","014409327","Monograph","Language material ; Text","Volume","","","9781586485603","","","","","Szántó, András [person]","Publicaffairs reports","","United States of America","New York","PublicAffairs","2007","1st edition","xxxi, 236 pages, illustrations, 21 cm","303.3750973","m08/.10089","Propaganda--United States ; Mass media and propaganda--United States ; United States--Politics and government ; Orwell, George, 1903-1950","","English","",""
"What Orwell didn't know : propaganda and the new face of American politics","","014494250","Monograph","Language material ; Text","Volume","GBA807319","","9781586485603","","","","","Szántó, András [person]","","","England ; United States of America","London ; New York","Perseus Running ; PublicAffairs","2008","","1 volume, 21 cm","303.3750973","","Propaganda--United States ; Mass media and propaganda--United States ; United States--Politics and government ; Orwell, George, 1903-1950","","English","",""
"Why I write","","012936732","Monograph","Language material ; Text","Volume","GBA444829","","9780141019000","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Great ideas","20 [Great ideas]","England","London","Penguin","2004","","119 pages, 18 cm","824.912","YK.2011.a.13137","Orwell, George, 1903-1950--Authorship","","English","",""
"Why I write","A hanging -- ; Politics and the English language ; The lion and the unicorn --","018526792","Monograph","Language material ; Text","Online resource","GBB7I1303","","9780141980607","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Great ideas","20 [Great ideas]","England","London","Penguin","2004","","1 online resource (119 pages)","824.912","ELD.DS.193729","Orwell, George, 1903-1950--Political and social views ; LANGUAGE ARTS & DISCIPLINES / Composition & Creative Writing","","English","",""
"Why Orwell matters","","012377274","Monograph","Language material ; Text","Volume","","","9780465030491","Hitchens, Christopher","","person","","Hitchens, Christopher [person]","","","United States of America","New York","Basic","2002","","","828.91209","m02/38922","Orwell, George, 1903-1950--Criticism and interpretation","","English","",""
"William Faulkner's 'Barn Burning' and Institutional Ideology --","George Orwell's 1984 and Political Ideology -- ; Ideology ; Ideology and Institutional Authority -- ; Ideology and the Paradox of Subjectivity -- ; Introduction to 'Ideology' -- ; Political Ideology -- ; The 'Post-Ideological' Era? ; Toni Morrison's Sula and Subjective Ideology --","017742994","Monograph","Language material ; Text","Online resource","GBB740239","","9781137143600","Decker, James M.","1967-","person","","Decker, James M., 1967- [person]","Transitions","","England ; United Kingdom","Basingstoke","Palgrave Macmillan","2003","","1 online resource (208 pages)","813.50938","ELD.DS.48372","Faulkner, William, 1897-1962 ; Literature--History and criticism--Theory, etc ; Ideology in literature ; Subjectivity in literature ; Literature and society ; Orwell, George, 1903-1950 ; Politics and literature ; Letterkunde ; Morrison, Toni ; Ideologie ; History of Western philosophy ; American fiction--20th century--History and criticism--Theory, etc","","English","",""
"Wiwat aspidistra","Keep the aspidistra flying. Polish","010169079","Monograph","Language material ; Text","Volume","","","9788308014639","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Piątkowska, Jadwiga [person]","","","Poland","Kraków","Literackie","1985","","276 pages","","YA.1987.a.11691","Fiction in English--1900---Translations","","Polish","",""
"Works. Selections","A kind of compulsion : 1903-1936","017080885","Monograph","Language material ; Text","Volume","GBB523891","","9781846559457","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person]","","","England","London","Secker","2015","","1 volume, 24 cm","828.91209","","Orwell, George, 1903-1950--Correspondence","Correspondence","English","",""
"Works. Selections","A kind of compulsion, 1903-1936","007378903","Monograph","Language material ; Text","Volume","GBA063747","","9780436205422","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Davison, Sheila [person] ; Angus, Ian, 1926- [person] ; Davison, Peter, 1926- [person]","","","England","London","Secker & Warburg","2000","Revised and updated edition","lvii, 600 pages, 24 cm","828.91209","YC.2001.a.13186","Authors, English--20th century--Correspondence ; Orwell, George, 1903-1950--Correspondence","Correspondence","English","Includes mainly letters and articles ; Originally published: 1998",""
"Works. Selections","A life in letter and diaries ; Complete works of George Orwell ; Lost Orwell","018657037","Monograph","Language material ; Still image ; Text","Volume","GBB8G0488","","","Orwell, George","1903-1950","person","author","Davison, Peter, 1926- [person] ; Orwell, George, 1903-1950, author [person] ; Davison, Peter, 1926-, compiler ; editor [person]","","","England","London","Folio Society","2017","Folio Society edition","xv, 487 pages, 16 unnumbered pages of plates, illustrations (black and white and colour), 25 cm","823.912","YKL.2018.a.16650","Orwell, George, 1903-1950--Correspondence ; Orwell, George, 1903-1950--Diaries","Correspondence ; Diary","English","'The contents of this edition have been selected from the Complete works of George Orwell and its supplementary volume The lost Orwell, edited by Peter Davison, published in Britain in 1998 and in 2006 by Secker & Warburg'--Title page verso ; In slip case ; edition statement from page xv",""
"Works. Selections","All propaganda is lies : 1941-1942","017080883","Monograph","Language material ; Text","Volume","GBB523889","","9781846559433","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person]","","","England","London","Secker","2015","","1 volume, 24 cm","828.91208","","Orwell, George, 1903-1950--Correspondence","Correspondence","English","",""
"Works. Selections","Animal farm ; Orwell and politics : Animal farm in the context of essays, reviews and letters selected from the complete works of George Orwell","011934994","Monograph","Language material ; Text","Volume","GBA1Z1810","","9780141185187","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","Penguin classics","","England","London","Penguin","2001","","xx, 537 pages, 20 cm","823.912","YC.2001.a.7591 ; m02/23788","Orwell, George, 1903-1950--Political and social views","","English","",""
"Works. Selections","Collected essays, journalism and letters of George Orwell ; Funny, but not vulgar and other selected essays and journalism","007694435","Monograph","Language material ; Text","Volume","GBA426688","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","England","London","Folio Society","1998","","278 pages, 16 pages of plates, illustrations, portraits, 23 cm","828.91209","YC.2004.a.6260","","","English","Originally published in: The collected essays, journalism and letters of George Orwell. London : Secker & Warburg, 1968",""
"Works. Selections","Collected essays, journalism and letters of George Orwell ; My country right or left and other selected essays and journalism","007694436","Monograph","Language material ; Text","Volume","GBA426691","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","England","London","Folio Society","1998","","318 pages, 16 pages of plates, illustrations, portraits, 23 cm","828.91209","YC.2004.a.6247","","","English","Originally published in The collected essays, journalism and letters of George Orwell. London : Secker & Warburg, 1968",""
"Works. Selections","Complete works. Vol.18. Smothered under journalism, 1946 ; Smothered under journalism, 1946","007378910","Monograph","Language material ; Text","Volume","GBA1X2734","","9780436205569","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","","","England","London","Secker & Warburg","2001","Revised and updated edition, edited by Peter Dawson, assisted by Ian Angus and Sheila Davison","xxxv, 547 pages, map, 24 cm","828.91209","YC.2001.a.16202","Orwell, George, 1903-1950--Correspondence","Correspondence","English","Previous edition published as: The complete works of George Orwell. volume 18. Smothered under journalism, 1946",""
"Works. Selections","Down and out in Paris and London ; Orwell and the dispossessed : Down and out in Paris and London in the context of essays, reviews and letters selected from The complete works of George Orwell ; The complete works of George Orwell. Selections","006562046","Monograph","Language material ; Text","Volume","","","9780141185194","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","Penguin classics","","England","London","Penguin","2001","","xviii, 424 pages, 20 cm","823.912","m02/41048","London (England)--Social conditions--20th century ; Paris (France)--Social conditions--20th century ; Homelessness--England--London--History--20th century ; Orwell, George, 1903-1950--Homes and haunts--France--Paris ; Homelessness--France--Paris--History--20th century ; Orwell, George, 1903-1950--Homes and haunts--England--London ; Authors, English--20th century--Biography","Biography","English","",""
"Works. Selections","Down and out in Paris and London ; Orwell and the dispossessed : Down and out in Paris and London in the context of essays, reviews and letters selected from The complete works of George Orwell ; The complete works of George Orwell. Selections","006718901","Monograph","Language material ; Text","Volume","GBA1Z1809","","9780141185194","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","Penguin classics","","England","London","Penguin","2001","","xviii, 424 pages, 20 cm","823.912","YC.2001.a.7592","London (England)--Social conditions--20th century ; Paris (France)--Social conditions--20th century ; Homelessness--England--London--History--20th century ; Orwell, George, 1903-1950--Homes and haunts--France--Paris ; Homelessness--France--Paris--History--20th century ; Orwell, George, 1903-1950--Homes and haunts--England--London ; Authors, English--20th century--Biography","Biography","English","",""
"Works. Selections","Facing unpleasant facts, 1937-1939","017080886","Monograph","Language material ; Text","Volume","GBB523892","","9781846559464","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person]","","","England","London","Secker","2015","","1 volume, 24 cm","828.91209","","Orwell, George, 1903-1950--Correspondence","Correspondence","English","",""
